Formation,Commentaire
Marketing Digital,"Très utile pour mon métier actuel, je recommande !"
Finance,Expérience enrichissante et formatrice.
Réseaux & Systèmes,Support pédagogique de qualité.
Marketing Digital,La formation m’a aidé à décrocher un emploi.
IA & Machine Learning,"Formation bien construite, j’ai apprécié le rythme."
Cloud Computing,Cours intéressants mais manque de mise en pratique.
Cloud Computing,Rien de nouveau par rapport à mes cours précédents.
Marketing Digital,Les vidéos sont longues et parfois confuses.
Data Science,"Pédagogie excellente, support complet."
IA & Machine Learning,Encadrement très présent et bienveillant.
Cloud Computing,Encadrement très présent et bienveillant.
Informatique,"Très bonne expérience, j’ai beaucoup appris."
Informatique,"Très bonne expérience, j’ai beaucoup appris."
Data Science,Super formation ! Les cas pratiques sont pertinents.
Réseaux & Systèmes,Expérience enrichissante et formatrice.
Cloud Computing,"Pédagogie excellente, support complet."
Marketing Digital,Cours intéressants mais manque de mise en pratique.
Cloud Computing,Bonne alternance entre théorie et pratique.
Informatique,La formation m’a aidé à décrocher un emploi.
Informatique,Ennuyeux et peu motivant.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris."
IA & Machine Learning,Formation trop dense en peu de temps.
Informatique,Bonne alternance entre théorie et pratique.
Cybersécurité,Support pédagogique de qualité.
Cloud Computing,Support pédagogique de qualité.
IA & Machine Learning,Cours intéressants mais manque de mise en pratique.
Développement Web,Manque d'interaction avec les intervenants.
Business Intelligence,"Pédagogie excellente, support complet."
Réseaux & Systèmes,Trop de redondance avec d'autres cours déjà suivis.
Business Intelligence,Je me suis senti accompagné du début à la fin.
Marketing Digital,"Des modules un peu trop longs, mais globalement bien."
Finance,"Très bonne expérience, j’ai beaucoup appris."
Informatique,Ennuyeux et peu motivant.
Développement Web,La formation m’a aidé à décrocher un emploi.
Business Intelligence,Les cours sont mal structurés.
Cloud Computing,Un peu déçu par l’organisation des cours.
Data Science,Rien de nouveau par rapport à mes cours précédents.
Développement Web,"Très utile pour mon métier actuel, je recommande !"
Développement Web,Les enseignants sont compétents et disponibles.
Marketing Digital,Trop de redondance avec d'autres cours déjà suivis.
Développement Web,"Très bonne expérience, j’ai beaucoup appris."
Data Science,Support pédagogique de qualité.
IA & Machine Learning,Les enseignants sont compétents et disponibles.
Business Intelligence,Je trouve que le niveau est trop bas.
Développement Web,Rien de nouveau par rapport à mes cours précédents.
IA & Machine Learning,Manque d'interaction avec les intervenants.
IA & Machine Learning,"Trop de théorie, peu de projets pratiques."
Informatique,Cours intéressants mais manque de mise en pratique.
IA & Machine Learning,"Très utile pour mon métier actuel, je recommande !"
Cybersécurité,Cours intéressants mais manque de mise en pratique.
IA & Machine Learning,"Très utile pour mon métier actuel, je recommande !"
Finance,"Très bonne expérience, j’ai beaucoup appris."
Développement Web,Les sujets traités sont très actuels.
Finance,Les sujets traités sont très actuels.
Réseaux & Systèmes,"Excellente formation, très claire et bien expliquée."
Business Intelligence,Bonne alternance entre théorie et pratique.
Finance,Les outils utilisés sont obsolètes.
Cloud Computing,"Pédagogie excellente, support complet."
Data Science,"Des modules un peu trop longs, mais globalement bien."
Réseaux & Systèmes,Pas assez de retours sur les exercices proposés.
Développement Web,La formation m’a aidé à décrocher un emploi.
Cloud Computing,Manque d'interaction avec les intervenants.
Cloud Computing,Les outils utilisés sont obsolètes.
Business Intelligence,"Trop de théorie, peu de projets pratiques."
Cybersécurité,Expérience enrichissante et formatrice.
IA & Machine Learning,"Des modules un peu trop longs, mais globalement bien."
Finance,Pas assez de retours sur les exercices proposés.
Cybersécurité,Les enseignants sont compétents et disponibles.
Cybersécurité,Expérience enrichissante et formatrice.
Data Science,"Des modules un peu trop longs, mais globalement bien."
Cloud Computing,"Pédagogie excellente, support complet."
Business Intelligence,Bonne alternance entre théorie et pratique.
Cybersécurité,Les sujets traités sont très actuels.
Finance,"Trop de théorie, peu de projets pratiques."
Réseaux & Systèmes,Rien de nouveau par rapport à mes cours précédents.
Cloud Computing,Je trouve que le niveau est trop bas.
Réseaux & Systèmes,Manque de contenu actualisé.
Marketing Digital,Je me suis senti accompagné du début à la fin.
Cybersécurité,Encadrement très présent et bienveillant.
Marketing Digital,Je me suis senti accompagné du début à la fin.
Cybersécurité,Je trouve que le niveau est trop bas.
Informatique,"Des modules un peu trop longs, mais globalement bien."
Business Intelligence,Les vidéos sont longues et parfois confuses.
Cloud Computing,Les vidéos sont longues et parfois confuses.
Cloud Computing,"Trop de théorie, peu de projets pratiques."
Réseaux & Systèmes,Support pédagogique de qualité.
Cybersécurité,"Trop de théorie, peu de projets pratiques."
Marketing Digital,"Excellente formation, très claire et bien expliquée."
Cybersécurité,Les sujets traités sont très actuels.
Développement Web,Les cours sont mal structurés.
Développement Web,Les outils utilisés sont obsolètes.
Cybersécurité,Super formation ! Les cas pratiques sont pertinents.
Marketing Digital,Les outils utilisés sont obsolètes.
Business Intelligence,Cours intéressants mais manque de mise en pratique.
Business Intelligence,Top ! À recommander sans hésitation.
Réseaux & Systèmes,Ennuyeux et peu motivant.
Cloud Computing,Les outils utilisés sont obsolètes.
Réseaux & Systèmes,Encadrement très présent et bienveillant.
Data Science,"Excellente formation, très claire et bien expliquée."
Développement Web,Les sujets traités sont très actuels.
Business Intelligence,"Formation bien construite, j’ai apprécié le rythme."
Informatique,Cours intéressants mais manque de mise en pratique.
Marketing Digital,Pas assez de retours sur les exercices proposés.
IA & Machine Learning,Super formation ! Les cas pratiques sont pertinents.
Business Intelligence,"Pédagogie excellente, support complet."
Informatique,Pas assez de retours sur les exercices proposés.
Finance,Ennuyeux et peu motivant.
Data Science,Les vidéos sont longues et parfois confuses.
Informatique,Support pédagogique de qualité.
Finance,Support pédagogique de qualité.
Développement Web,Encadrement très présent et bienveillant.
Développement Web,La formation m’a aidé à décrocher un emploi.
Développement Web,Rien de nouveau par rapport à mes cours précédents.
Business Intelligence,"Très utile pour mon métier actuel, je recommande !"
IA & Machine Learning,"Très bonne expérience, j’ai beaucoup appris."
Finance,Manque d'interaction avec les intervenants.
Développement Web,Les sujets traités sont très actuels.
Data Science,Je trouve que le niveau est trop bas.
Informatique,"Des modules un peu trop longs, mais globalement bien."
Cloud Computing,Ennuyeux et peu motivant.
Finance,Manque de contenu actualisé.
Informatique,Un peu déçu par l’organisation des cours.
Marketing Digital,Manque de contenu actualisé.
Marketing Digital,"Formation bien construite, j’ai apprécié le rythme."
Finance,Un peu déçu par l’organisation des cours.
Business Intelligence,Encadrement très présent et bienveillant.
Marketing Digital,Les sujets traités sont très actuels.
Développement Web,Formation trop dense en peu de temps.
Marketing Digital,Je trouve que le niveau est trop bas.
Cloud Computing,Formation trop dense en peu de temps.
Développement Web,Bonne alternance entre théorie et pratique.
Marketing Digital,Top ! À recommander sans hésitation.
Informatique,Support pédagogique de qualité.
Réseaux & Systèmes,Cours intéressants mais manque de mise en pratique.
Cybersécurité,Formation trop dense en peu de temps.
Réseaux & Systèmes,Rien de nouveau par rapport à mes cours précédents.
Finance,Les vidéos sont longues et parfois confuses.
Cloud Computing,Bonne alternance entre théorie et pratique.
Développement Web,Je me suis senti accompagné du début à la fin.
IA & Machine Learning,"Formation bien construite, j’ai apprécié le rythme."
Data Science,Les vidéos sont longues et parfois confuses.
Finance,Rien de nouveau par rapport à mes cours précédents.
Cloud Computing,Super formation ! Les cas pratiques sont pertinents.
Informatique,Support pédagogique de qualité.
Finance,Expérience enrichissante et formatrice.
IA & Machine Learning,Les enseignants sont compétents et disponibles.
IA & Machine Learning,Les outils utilisés sont obsolètes.
Business Intelligence,Rien de nouveau par rapport à mes cours précédents.
Finance,Les sujets traités sont très actuels.
Cloud Computing,Manque de contenu actualisé.
Cloud Computing,Cours intéressants mais manque de mise en pratique.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris."
Business Intelligence,"Trop de théorie, peu de projets pratiques."
Cybersécurité,"Très utile pour mon métier actuel, je recommande !"
Data Science,Les sujets traités sont très actuels.
Marketing Digital,Les vidéos sont longues et parfois confuses.
Marketing Digital,Pas assez de retours sur les exercices proposés.
Cloud Computing,Les cours sont mal structurés.
IA & Machine Learning,Les vidéos sont longues et parfois confuses.
Business Intelligence,Top ! À recommander sans hésitation.
Cloud Computing,Les vidéos sont longues et parfois confuses.
IA & Machine Learning,Les sujets traités sont très actuels.
Informatique,Un peu déçu par l’organisation des cours.
IA & Machine Learning,Les cours sont mal structurés.
Réseaux & Systèmes,Les enseignants sont compétents et disponibles.
Cloud Computing,Je me suis senti accompagné du début à la fin.
Réseaux & Systèmes,Expérience enrichissante et formatrice.
Informatique,"Formation bien construite, j’ai apprécié le rythme."
Développement Web,Les outils utilisés sont obsolètes.
Business Intelligence,Les cours sont mal structurés.
Business Intelligence,Encadrement très présent et bienveillant.
Marketing Digital,Je me suis senti accompagné du début à la fin.
Cloud Computing,Manque d'interaction avec les intervenants.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris."
Data Science,Je trouve que le niveau est trop bas.
Réseaux & Systèmes,"Pédagogie excellente, support complet."
Marketing Digital,Top ! À recommander sans hésitation.
Business Intelligence,Les cours sont mal structurés.
IA & Machine Learning,"Des modules un peu trop longs, mais globalement bien."
Informatique,Top ! À recommander sans hésitation.
Marketing Digital,Les sujets traités sont très actuels.
Informatique,Support pédagogique de qualité.
Cloud Computing,Support pédagogique de qualité.
Informatique,Trop de redondance avec d'autres cours déjà suivis.
Cybersécurité,Les enseignants sont compétents et disponibles.
Réseaux & Systèmes,Pas assez de retours sur les exercices proposés.
Cloud Computing,Les enseignants sont compétents et disponibles.
Réseaux & Systèmes,Les cours sont mal structurés.
IA & Machine Learning,Formation trop dense en peu de temps.
Cloud Computing,Bonne alternance entre théorie et pratique.
Data Science,Support pédagogique de qualité.
Data Science,"Pédagogie excellente, support complet."
Cybersécurité,Trop de redondance avec d'autres cours déjà suivis.
Data Science,"Trop de théorie, peu de projets pratiques."
Cybersécurité,Trop de redondance avec d'autres cours déjà suivis.
Marketing Digital,Manque de contenu actualisé.
Marketing Digital,Cours intéressants mais manque de mise en pratique.
IA & Machine Learning,"Excellente formation, très claire et bien expliquée."
Marketing Digital,Je me suis senti accompagné du début à la fin.
Marketing Digital,Formation trop dense en peu de temps.
